Experiment,      Q2, epsilon,   Ebeam, etheta,  sigma_old, dsigma_old, norm_unc,  sigma_new, dsigma_new,     sigmaR,  dsigmaR,    norm,   dnorm,     GMp,    dGMp, chi2contr
        Rock,7.9883,0.9524,18.4822,10,0.0448,0.001,0.03,0.044793,0.001,6.940E-04,1.6E-05,1.06812,0.00588,0.95647,0.0131,0.0162
        Rock,10.004,0.9445,21.006,10,0.0145,0.0005,0.03,0.014498,0.0005,3.488E-04,1.2E-05,1.06812,0.00588,0.92042,0.0186,0.2159
        Sill,2.8617,0.8892,5.4639,21.01,0.802,0.0304,0.036,0.80206,0.0304,1.180E-02,4.5E-04,1.01517,0.0133,1.04938,0.0213,0.1277
        Sill,3.6214,0.8337,5.4641,25.01,0.193,0.00806,0.036,0.19309,0.00807,6.705E-03,2.8E-04,1.01517,0.0133,1.04878,0.0231,0.0033
        Sill,5.0266,0.8569,7.632,21.01,0.0693,0.00252,0.036,0.069322,0.00252,2.854E-03,1.0E-04,1.01517,0.0133,1.02966,0.0202,0.2165
        Sill,4.9906,0.8079,6.657,25.01,0.0455,0.00179,0.036,0.045531,0.00179,2.919E-03,1.2E-04,1.01517,0.0133,1.03324,0.0217,0.3197
        Sill,5.0166,0.7014,5.499,33.01,0.0204,0.000762,0.036,0.020433,0.000763,2.795E-03,1.0E-04,1.01517,0.0133,1.02062,0.0204,0.0007
        Sill,7.3004,0.8255,9.6061,21.01,0.0109,0.000447,0.036,0.010906,0.000447,9.461E-04,3.9E-05,1.01517,0.0133,0.9669,0.0215,0.0293
        Sill,9.624,0.7957,11.45,21.01,0.00251,0.000108,0.036,0.0025119,0.000108,3.907E-04,1.7E-05,1.01517,0.0133,0.90274,0.0216,0.8629
        Sill,11.985,0.7676,13.2102,21.01,0.000808,3.58E-05,0.036,0.00080878,3.58E-05,2.036E-04,9.0E-06,1.01517,0.0133,0.88138,0.0224,0.0818
        Sill,15.719,0.7269,15.8399,21.01,0.000179,1.08E-05,0.036,0.00017923,1.08E-05,8.358E-05,5.1E-06,1.01517,0.0133,0.82409,0.0281,0.096
        Sill,19.48,0.6901,18.3604,21.01,4.67E-05,3.62E-06,0.036,4.68E-05,3.63E-06,3.606E-05,2.8E-06,1.01517,0.0133,0.73212,0.0315,1.6987
        Sill,23.238,0.6568,20.7898,21.01,1.82E-05,1.66E-06,0.036,1.82E-05,1.66E-06,2.145E-05,2.0E-06,1.01517,0.0133,0.72506,0.0364,0.0159
        Sill,26.993,0.5398,21.1804,25.01,4.51E-06,5.25E-07,0.036,4.53E-06,5.27E-07,1.317E-05,1.5E-06,1.01517,0.0133,0.70531,0.0436,0.0405
        Sill,31.205,0.3661,21.1903,33.01,8.60E-07,1.53E-07,0.036,8.66E-07,1.54E-07,8.915E-06,1.6E-06,1.01517,0.0133,0.71894,0.0651,0.6128
      Walker,1,0.6918,1.594,45.221,5.267,0.0497,0.019,5.2744,0.0498,8.845E-02,8.3E-04,1.00839,0.00316,1.03087,0.00603,0.183
      Walker,0.9996,0.8687,2.403,27.277,17.8,0.185,0.019,17.805,0.185,9.303E-02,9.7E-04,1.00839,0.00316,1.02886,0.00673,0.0003
      Walker,1.0001,0.9298,3.2381,19.453,39.51,0.393,0.019,39.511,0.393,9.579E-02,9.5E-04,1.00839,0.00316,1.03518,0.00671,1.5293
      Walker,2.003,0.6345,2.408,46.389,0.4436,0.00464,0.019,0.44476,0.00466,2.533E-02,2.7E-04,1.00839,0.00316,1.05089,0.00634,0.9887
      Walker,2.0023,0.7348,2.8,37.47,0.7797,0.00703,0.019,0.78101,0.00704,2.611E-02,2.4E-04,1.00839,0.00316,1.05804,0.00591,0.1267
      Walker,2.0025,0.8076,3.25,30.81,1.288,0.0102,0.019,1.2894,0.0102,2.655E-02,2.1E-04,1.00839,0.00316,1.06113,0.00561,1.305
      Walker,2.0025,0.8775,4.003,23.822,2.421,0.0262,0.019,2.4223,0.0262,2.664E-02,2.9E-04,1.00839,0.00316,1.05717,0.00695,0.0209
      Walker,2.0022,0.938,5.4892,16.512,5.746,0.14,0.019,5.7463,0.14,2.649E-02,6.4E-04,1.00839,0.00316,1.0492,0.0134,0.3153
      Walker,2.4968,0.6195,2.796,45.947,0.1894,0.00197,0.019,0.18998,0.00197,1.584E-02,1.7E-04,1.00839,0.00316,1.05381,0.0062,0.6324
      Walker,2.4968,0.723,3.241,37.024,0.3369,0.00332,0.019,0.3376,0.00333,1.621E-02,1.6E-04,1.00839,0.00316,1.05905,0.00615,0.029
      Walker,2.4969,0.8002,3.766,30.245,0.5629,0.00453,0.019,0.56358,0.00453,1.621E-02,1.3E-04,1.00839,0.00316,1.05424,0.00547,0.8545
      Walker,2.4975,0.846,4.242,25.989,0.8293,0.00876,0.019,0.83003,0.00876,1.635E-02,1.7E-04,1.00839,0.00316,1.05612,0.00664,0.1335
      Walker,3.0061,0.6233,3.251,43.976,0.09664,0.00105,0.019,0.096956,0.00106,1.029E-02,1.1E-04,1.00839,0.00316,1.04772,0.00635,1.7433
      Walker,3.0063,0.7614,4.008,32.422,0.2194,0.00216,0.019,0.21979,0.00217,1.055E-02,1.0E-04,1.00839,0.00316,1.05378,0.00608,0.079
      Walker,3.0065,0.9102,6.2462,18.526,0.9085,0.0236,0.019,0.90873,0.0236,1.070E-02,2.8E-04,1.00839,0.00316,1.05368,0.0142,0.013
      Walker,3.0064,0.9316,7.0741,16.02,1.315,0.0153,0.019,1.3151,0.0153,1.090E-02,1.3E-04,1.00839,0.00316,1.06227,0.00719,1.2877
